
[00:59:44] [INFO] Based on GWA2
[00:59:44] [INFO] GWA2 - Created by: GameRevision Community
[00:59:44] [INFO] GWA2 - Build date: approximately 2007

[00:59:44] [INFO] GwAu3 - Created by: Jag-Gw Community
[00:59:44] [INFO] GwAu3 - Build date: 2025-05-21
[00:59:44] [INFO] GwAu3 - Version: 1.0
[01:03:31] [WARN] Fighting enemies with SmartCast!
[01:03:31] [WARN] Fighting enemies with SmartCast!
[01:03:37] [WARN] Fighting enemies with SmartCast!
[01:03:39] [WARN] Fighting enemies with SmartCast!
[01:03:45] [WARN] Fighting enemies with SmartCast!
[01:04:10] [WARN] Fighting enemies with SmartCast!
[01:04:14] [WARN] Fighting enemies with SmartCast!
[01:04:16] [WARN] Fighting enemies with SmartCast!
[01:04:16] [WARN] Fighting enemies with SmartCast!
[01:04:17] [WARN] Fighting enemies with SmartCast!
[01:04:18] [WARN] Fighting enemies with SmartCast!
[01:04:19] [WARN] Fighting enemies with SmartCast!
[01:04:20] [WARN] Fighting enemies with SmartCast!
[01:04:21] [WARN] Fighting enemies with SmartCast!
[01:04:23] [WARN] Fighting enemies with SmartCast!
[01:04:24] [WARN] Fighting enemies with SmartCast!
[01:04:25] [WARN] Fighting enemies with SmartCast!
[01:04:26] [WARN] Fighting enemies with SmartCast!
[01:04:26] [WARN] Fighting enemies with SmartCast!
[01:04:27] [WARN] Fighting enemies with SmartCast!
[01:04:28] [WARN] Fighting enemies with SmartCast!
[01:04:29] [WARN] Fighting enemies with SmartCast!
[01:04:30] [WARN] Fighting enemies with SmartCast!
[01:04:30] [WARN] Fighting enemies with SmartCast!
[01:04:31] [WARN] Fighting enemies with SmartCast!
[01:04:32] [WARN] Fighting enemies with SmartCast!
[01:04:33] [WARN] Fighting enemies with SmartCast!
[01:04:33] [WARN] Fighting enemies with SmartCast!
[01:04:34] [WARN] Fighting enemies with SmartCast!
[01:04:35] [WARN] Fighting enemies with SmartCast!
[01:04:36] [WARN] Fighting enemies with SmartCast!
[01:04:36] [WARN] Fighting enemies with SmartCast!
[01:04:37] [WARN] Fighting enemies with SmartCast!
[01:04:38] [WARN] Fighting enemies with SmartCast!
[01:04:39] [WARN] Fighting enemies with SmartCast!
[01:04:39] [WARN] Fighting enemies with SmartCast!
[01:04:40] [WARN] Fighting enemies with SmartCast!
[01:04:41] [WARN] Fighting enemies with SmartCast!
[01:04:42] [WARN] Fighting enemies with SmartCast!
[01:04:42] [WARN] Fighting enemies with SmartCast!
[01:04:43] [WARN] Fighting enemies with SmartCast!
[01:04:44] [WARN] Fighting enemies with SmartCast!
[01:04:45] [WARN] Fighting enemies with SmartCast!
[01:04:45] [WARN] Fighting enemies with SmartCast!
[01:04:46] [WARN] Fighting enemies with SmartCast!
[01:04:47] [WARN] Fighting enemies with SmartCast!
[01:04:48] [WARN] Fighting enemies with SmartCast!
[01:04:48] [WARN] Fighting enemies with SmartCast!
[01:04:49] [WARN] Fighting enemies with SmartCast!
[01:04:50] [WARN] Fighting enemies with SmartCast!
[01:04:51] [WARN] Fighting enemies with SmartCast!
[01:05:00] [WARN] Fighting enemies with SmartCast!
[01:05:02] [WARN] Fighting enemies with SmartCast!
[01:05:03] [WARN] Fighting enemies with SmartCast!
[01:05:03] [WARN] Fighting enemies with SmartCast!
[01:05:04] [WARN] Fighting enemies with SmartCast!
[01:05:05] [WARN] Fighting enemies with SmartCast!
[01:05:06] [INFO] Smart Cast Test complete. Restarting...
[01:05:08] [EXIT] Script terminated. ExitCode=0
